,SEC_Link,Deal_Type,Target,Target_Price,Acquirer,Acquirer_Price,Details
0,https://www.sec.gov/Archives/edgar/data/890319/000114036120002681/nc10008524x1_ex99-1.htm,acquisition,TCO,https://finance.yahoo.com/quote/TCO?p=TCO,SPG,https://finance.yahoo.com/quote/SPG?p=SPG,"The acquisition of Taubman Centers (TCO) by Simon Property Group (SPG) for $8.79 billion or $52.50 per share in cash. We added TCO as a potential deal to the Deals in the Works section on February 4, 2020, and the price after the news of the potential deal came out was $31.46."
1,https://www.sec.gov/Archives/edgar/data/892482/000149315220001967/ex99-1.htm,merger,QUMU,https://finance.yahoo.com/quote/QUMU?p=QUMU,SYNC,https://finance.yahoo.com/quote/SYNC?p=SYNC,"The merger of Qumu Corporation (QUMU) and Synacor (SYNC) for $24.06 million in an all stock deal. Under the terms of the agreement, each share of Qumu common stock issued and outstanding as of the effective date of the merger will be converted into approximately 1.61 shares of Synacor common stock."
